sentence,CSR,キャリア支援,コスト削減,意欲向上,家庭支援,健康増進,地域対策,働き方改革,風土改革,利用促進,離職防止
共済会としてＦＰの専属契約（相談など）やメンタルヘルス、オリジナルセミナーなどを行っているが組合として福利厚生には「育児介護リフレッシュ」メニューの充実を望んでいる。,0,0,0,0,0,1,0,0,0,0,0
20年オリンピックイヤーに向けたホワイト500又は健康経営等の具体策も未。,0,0,0,0,0,1,0,0,0,0,0
道北を中心に道内に複数個所病院があるため、公平性の観点からカフェにて検討となる。,0,0,0,0,0,0,1,0,0,0,0
ポイントは地域開発と利用促進（継続的な冊子等の作成）と利便性,0,0,0,0,0,0,0,0,0,1,0
（３）仕事で海外に出張する方も増えてきているが、教育費としては通信教育費だけしかでていないとのこと。,0,1,0,0,0,0,0,0,0,0,0
しかしながら職員組合からの抵抗も必須であることから改革による制度の公平性の実現と現行制度を補完できるコンテンツを含め費用対効果について今後はなしを詰めていきたいとのこと。,0,0,1,0,0,0,0,0,0,0,0
事務の方には、自己啓発や教育の分野の強化を図りたい考え。,0,1,0,0,0,0,0,0,0,0,0
一方で教育や育児介護に関して力を入れていきたいとの考えがあり、汎用サービス以外でどのようなサービスが受けられるか知りたいとの事。,0,1,0,0,0,0,0,0,0,0,0
事務の方には、自己啓発や教育の分野の強化を図りたい考え。,0,1,0,0,0,0,0,0,0,0,0
社内の評価制度の見える化、社員のやりがいアップ（生産性向上）等で、導入企業ありと紹介。,0,0,0,1,0,0,0,0,0,0,0
理由としては「小売業という特性上、社内の経費はできるだけ抑えて、顧客へ還元安売り」する主義であるため。,0,0,1,0,0,0,0,0,0,0,0
小1の壁に悩まされ、離職される方が多いため、育児関係にも力をいれていきたいと考えてはいるとのこと。,0,0,0,0,0,0,0,0,0,0,1
社員のニーズの多様化にPKGだけでは対応できなくなってきている。,1,0,0,0,0,0,0,0,0,0,0
ニーズの多様化への対応（PKGだと対応できないと感じている）,1,0,0,0,0,0,0,0,0,0,0
CRM「え」を特典として提供することが、空室率入居率の改善にどこまで寄与できるのか不透明（費用対効果が見えない）,0,0,1,0,0,0,0,0,0,0,0
労組について担当者より労働組合へ検討状況を伝えたところ、公平性を担保するため「フルPKG」の希望あり。,0,0,0,0,0,0,1,0,0,0,0
人材不足人材定着を課題として、認識している,0,0,0,0,0,0,0,0,0,0,1
ホワイト500をとるために、現在社内で健康について会議を重ねている。,0,0,0,0,0,1,0,0,0,0,0
ダイバーシティの多様化からそのようなことを考えているとのこと。,1,0,0,0,0,0,0,0,0,0,0
近年PKGのマンネリ化や、利用率も下がってきているため、カフェでの拡充と、社内での住宅補助などをカフェに移行したいとの要望や、社員のニーズも多様化してきているとの事。,1,0,0,0,0,0,0,0,0,0,0
カフェ導入の背景としては、5年前にR社を導入し、社員の多様化への対応等でPKG+カフェ（15000P/人）を導入,1,0,0,0,0,0,0,0,0,0,0
働き方改革の推進、フレキシブルな時間労働、Web化推進、労働組合様含めた利用促進強化,0,0,0,0,0,0,0,0,0,1,0
仕事としてダイバーシティの推進が行われている。,1,0,0,0,0,0,0,0,0,0,0
ホワイト500取得目指し有給取得推進していたため、旅行実績も伸びたとのこと。,0,0,0,0,0,1,0,0,0,0,0
先方の希望としては、介護離職を防ぐためにいかに安心を担保できるかというところを主軸において、検討している。,0,0,0,0,0,0,0,0,0,0,1
大幅に利用が伸び、語学に力を入れていることから、社内教育として導入を提案をする。,0,1,0,0,0,0,0,0,0,0,0
大成建設では５０名の育休中の女性社員に、通信教育などを通じて成長支援したい意向でプログラム選定をすすめている。,0,1,0,0,0,0,0,0,0,0,0
社内コミュニケーションの活性にも役立つ,0,0,0,0,0,0,0,0,1,0,0
【健康増進コミュニケーション活性化】,0,0,0,0,0,1,0,0,1,0,0
２０１７年度までは、日本オーナーズクラブも契約していたが、利用者の偏りと費用対効果の問題で廃止。,0,0,1,0,0,0,0,0,0,0,0
（また、離職防止の意味合いもある（離職は少ないが）年に数回、集合研修を実施しており、表沙汰は自己研鑽に励んでもらうためだが、社員同士のコミュニケーションが取れる機会を提供する、といった会社の狙いもある。また、年に１回全社員を東京に呼んでホテルで懇親会？を行っていたが、所管の税務署から交際費で落とせる限度を超えている、などの指摘が入り、２．３年ほど前から廃止。（内容は、飲食が中心だが、芸能人を呼んでのイベントなども行っていた）社員旅行も行っているが、仲のいい人同士での参加の為コミュニケーションの活性化には、繋がっていないとの認識。会社としては、年１回全社員が参加できるイベント（以前より費用を抑えた形で）など今後も視野に入れて検討していくが、継続的に社員がコミュニケーションを図れる様な施策も検討していきたいとの事(出来ればスマホ上などで実施できる施策がよい）健康増進社是で「お客様の為になることをする」を掲げており、社員が健康でない限り実現は不可能との事で、健康に対しての取組も強化していく。現状健康に関しての取組はない。スポクラと法人契約の話も昔上がったが地域には店舗がないなどで、見送り。会社としても、健康に無関心な人をどう惹きつけるかの動機付けが大事と考えており、そこに対しての取組も視野に入れる。特段社員の健康状態が悪いという訳ではないが、平均年齢も上昇してきており、社員に長く働いてもらうための一環として、施策を検討。目標は、社員が健康で働ける環境整備（意識の改革）ホワイト500の取得。２、今後の方向性話を聞いた内容踏まえ、健康経営Habidoの紹介や、運動会等の事例等紹介。また、役員の性格として同業他社の取り組みなど非常に敏感との事で、産業用ガス会社の主な取り組み事例、を調べ提示。,0,0,0,0,0,0,0,0,1,0,0
組合としては、個々人の福利厚生利用というよりも、社員間コミュニケーションに重きを置いているためPKGには否定的。,0,0,0,0,0,0,0,0,1,0,0
全国に事業所があるため地域の公平性をしたいというのが組合の要望。,0,0,0,0,0,0,1,0,0,0,0
弊社の考える健康とは「健康への無関心層」をTGTに社員の意欲向上へ寄与するような制度を構築することホワイト500や健康銘柄取得維持のためのコンテンツ提供（取得後のケア）することだという考えのもと、、これに適応できる制度として「オフィスDE健康（仮称）」を留美さんより紹介。,0,0,0,0,0,1,0,0,0,0,0
コストをうまく配分し、個人の余暇活用とコミュニケーション支援の両立を図りたい。,0,0,0,0,0,0,0,0,1,0,0
社員目線で制度の周知を検討することが、働き方改革にも通じるとの感想をいただく。,0,0,0,0,0,0,0,0,0,1,0
東京本社社員現状制度知らないため、周知活動強化求める声多い,0,0,0,0,0,0,0,0,0,1,0
重視するのは導入後の利用促進サービスの使いやすさテルモの重視するテーマを今後一緒考えてくれるか送付資料,0,0,0,0,0,0,0,0,0,1,0
社員同士のコミュニケーションも活発にとれており、離職率もかなり低い。,0,0,0,0,0,0,0,0,1,0,0
問い合わせの理由として、ニーズの多様化によって社員のニーズに合わせることが出来なくなった為。,1,0,0,0,0,0,0,0,0,0,0
問い合わせの理由として、ニーズの多様化によって社員のニーズに合わせることが出来なくなった為。,1,0,0,0,0,0,0,0,0,0,0
本組織に関わらず組織として従業員のスキルアップに力を入れ始めている組織が多い。,0,1,0,0,0,0,0,0,0,0,0
導入に伴い、労組として「え」の周知強化を実施したい意向（労組として従業員満足度を向上することを責務としてとらえている）。,0,0,0,0,0,0,0,0,0,1,0
共済会としても認知度向上共済会加盟企業を増やすといったミッションもあるため2017年度もJBFと共存して利用促進を図る。,0,0,0,0,0,0,0,0,0,1,0
社長の交代従業員の健康意識向上（ホワイト500維持）従業員の英語レベル強化など福利厚生に関連した取り組みや傾向に注目が集まっているとのこと。,0,1,0,0,0,1,0,0,0,0,0
実際、本体には外国人労働者活躍推進担当がいることからも教育体制には力を入れているよ様子。,0,1,0,0,0,0,0,0,0,0,0
その他、個人の趣味が多様化しているため、もっとニッチなものも増えると良いのでは。,1,0,0,0,0,0,0,0,0,0,0
理由としては、同期がすごく仲良く助け合っているため、若手の離職率も低い。,0,0,0,0,0,0,0,0,0,0,1
理由として、全社的な働き方改革推進において、直近の急務として業務効率改善およびシステム合理化が発生した。,0,0,0,0,0,0,0,1,0,0,0
そもそもメンタル不調となる前のリフレッシュや健康意識向上社員感コミュニケーション活性化を図るとすれば100日プロジェクトが適しているのではないかという視点で紹介。,0,0,0,0,0,1,0,0,1,0,0
共済会としては業務上のコミュニケーション活性化を図るのではなく、遊びやプライベートなどオフの場（業務外）で学生講師がコミュニケーションを図る支援をしてあげたい。,0,0,0,0,1,0,0,0,0,0,0
また、従業員宅の電気代を会社が一部負担してあげることで福利厚生とし、従業員は電気代が劇的に安くなるメリットは離職防止、囲い込みになるというもの。,0,0,0,0,0,0,0,0,0,0,1
自転車業界は狭いが、福利厚生重視している同業界他社へ転職する人も多く離職防止策の１つとして導入を検討していきたいとのこと。,0,0,0,0,0,0,0,0,0,0,1
また、社長の方から勤務形態がシフト制なので、社員の方のリフレッシュや、やる気を上げるにも福利厚生の改善が必要との事で検討している。,0,0,0,1,0,0,0,0,0,0,0
東日本大震災の影響や、独占禁止法などにより、業績悪化中新たな経費捻出は難しい模様,0,0,1,0,0,0,0,0,0,0,0
部署ごとでのコミュニケーション活性化が目的。,0,0,0,0,0,0,0,0,1,0,0
"「ヘルスケア」\健康経営\"" \""ホワイト500\""について非常に関心が強い。""",0,0,0,0,0,1,0,0,0,0,0
「え」の導入は今のところ厳しい部分があるが、ホワイト500関連の事業については関心が強く、話が膨らむ可能性があり,0,0,0,0,0,1,0,0,0,0,0
 離職率は低い（ニッチな分野での多能工化から）,0,0,0,0,0,0,0,0,0,0,1
導入のメリットとして大きいと介護について現在介護で離職しても5年以内ならば復職できる制度があるものの、社として更なる取組が必要との認識で「え」の介護用品割引,0,0,0,0,0,0,0,0,0,0,1
業者決定の際のポイントはコスト削減（電力自由化等でかなり経費削減を行っている）/実利用者拡大（現状3割）のおおきく二つ。,0,0,1,0,0,0,0,0,0,0,0
自由化、発送電分離競争激化価格競争無駄な経費削減,0,0,1,0,0,0,0,0,0,0,0
出向者が増えている中での公平性な制度実現と利便性向上,0,0,0,0,0,0,1,0,0,0,0
サンコレ導入により、契約社員と正社員の公平化、既存顧客の解約抑制に努めても評価されない社内風土の改善、社内コミュニケーション活性化等を求めている。,0,0,0,0,0,0,1,0,1,0,0
現状課題は学生アルバイトやパートナー社員の早期離職。,0,0,0,0,0,0,0,0,0,0,1
看護師の採用で特別困っていることは無いとのことだが、今後の人材確保と離職防止の観点から有用と説明,0,0,0,0,0,0,0,0,0,0,1
事、病院としてネームバリューがあるため離職や採用での課題が薄いため,0,0,0,0,0,0,0,0,0,0,1
採用面等でもまったく困っていないし、離職率も低い状態で推移しているため、現状の制度を変更する理由が見当たらない。,0,0,0,0,0,0,0,0,0,0,1
社内コミュニケーションをもっと活性化させていきたいとの考え有。,0,0,0,0,0,0,0,0,1,0,0
今後必要となりそうなセミナーとして、「健康」、「会社で使えるスキル」「育児介護」の3つをキーワードに挙げられた。,0,1,0,0,0,0,0,0,0,0,0
2015年度は赤字決算となり、経費削減と人員削減が大きな課題,0,0,1,0,0,0,0,0,0,0,0
また、並行して社員に向けた健康増進の施策(担当：櫻井様)を検討されており、定期検診の代行分析改善策(及び予防策)でなにかあたらしい制度を模索されている段階。,0,0,1,0,0,0,0,0,0,0,0
