sentence,CSR,キャリア支援,コスト削減,意欲向上,家庭支援,健康増進,地域対策,働き方改革,風土改革,利用促進,離職防止,CSR,キャリア支援,コスト削減,意欲向上,家庭支援,健康増進,地域対策,働き方改革,風土改革,利用促進,離職防止
最近は、「仕事にために資格を取る」という方から「自身の生活に役立てるために資格を取る」という動機で受講を申し込まれる方が増えてきた。,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
その背景には、「老後不安」「貯蓄から投資へ」といった社会課題に備えるための心理が働いているのではないかとのこと。,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
福島ＭＲは社労士の資格をもっており、社内制度（人事制度、評価、教育等）の改革に」取り組んでいる。,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
ヲタクと呼ばれる社員（何かが欠落しているとのこと）に対しコミュニケーション能力の向上を図りたい,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
社長の交代従業員の健康意識向上（ホワイト500維持）従業員の英語レベル強化など福利厚生に関連した取り組みや傾向に注目が集まっているとのこと。,0,1,0,0,0,1,0,0,0,0,0,,,,,,,,,,,
実際、本体には外国人労働者活躍推進担当がいることからも教育体制には力を入れているよ様子。,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
今後必要となりそうなセミナーとして、「健康」、「会社で使えるスキル」「育児介護」の3つをキーワードに挙げられた。,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
社員のスキルアップ&人材の確保に課題を感じていたため、導入組織の事例（募集要項への記載や無料eラーニング、補助金の適応など）をアピールすると好評であった。,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
共済会にて、グローバル化に備え、社内スキルアップ促進の為に英語資格取得への支援制度を考えており支援対象をどうするか等で情報が欲しいと相談を受けている、とのこと。,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
昨年春に社のグローバル化に伴って、英語教育を実施したい意向があったが、特に何もしていない。,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
社員のニーズの多様化にPKGだけでは対応できなくなってきている。,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
ニーズの多様化への対応（PKGだと対応できないと感じている）,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
ダイバーシティの多様化からそのようなことを考えているとのこと。,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
近年PKGのマンネリ化や、利用率も下がってきているため、カフェでの拡充と、社内での住宅補助などをカフェに移行したいとの要望や、社員のニーズも多様化してきているとの事。,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
カフェ導入の背景としては、5年前にR社を導入し、社員の多様化への対応等でPKG+カフェ（15000P/人）を導入,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
仕事としてダイバーシティの推進が行われている。,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
問い合わせの理由として、ニーズの多様化によって社員のニーズに合わせることが出来なくなった為。,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
問い合わせの理由として、ニーズの多様化によって社員のニーズに合わせることが出来なくなった為。,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
その他、個人の趣味が多様化しているため、もっとニッチなものも増えると良いのでは。,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
ポイントは地域貢献として県内にお金が落ちるようにする事、行員が広く使える事の2点。,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
しかしながら職員組合からの抵抗も必須であることから改革による制度の公平性の実現と現行制度を補完できるコンテンツを含め費用対効果について今後はなしを詰めていきたいとのこと。,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
理由としては「小売業という特性上、社内の経費はできるだけ抑えて、顧客へ還元安売り」する主義であるため。,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
CRM「え」を特典として提供することが、空室率入居率の改善にどこまで寄与できるのか不透明（費用対効果が見えない）,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
２０１７年度までは、日本オーナーズクラブも契約していたが、利用者の偏りと費用対効果の問題で廃止。,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
上申するにあたり、「費用対効果を可視化(離職率が○%低下、満足度○%向上など)することは困難なため、別の観点からアプローチしたいが、方向性が決まらない」とのこと。,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
電気ガスの自由化に伴い、中部電力を競合とした価格競争が進んでおり社内的に経費削減傾向にある。,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
従業員300名の病院で４年前にR社サービスの導入を検討したことがあるが経費上の問題から没案となった経緯があり今でも状況は変わっていないとのこと。,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
関心は持たれたが、「え」との同時採用では経費が厳しい様子。,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,
商談内容：冒頭から風土改革に強い関心を感じたことから単刀直入に「え」導入による費用対効果について具体的な事例を挙げてプレゼン。,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,
社内の評価制度の見える化、社員のやりがいアップ（生産性向上）等で、導入企業ありと紹介。,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,
また、社長の方から勤務形態がシフト制なので、社員の方のリフレッシュや、やる気を上げるにも福利厚生の改善が必要との事で検討している。,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,
社員スタッフのモチベーション向上; 社内コミュニケーションの活性化; 正社員の定着率向上; 会社への帰属意識の向上; 表彰報奨制度の見直し; ワークライフバランス; 永年勤続報奨をお考え,0,0,0,1,0,0,0,0,1,0,1,,,,,,,,,,,
今回の面談では福利厚生が如何に人材のモチベーションアップに繋がるか、採用時のアピールポイントになるか、就活生が募集要項の福利厚生欄をどれほど気にしているかをアピールしたところ、もう一度担当者のやる気に火をつける形となった。,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,
アルバイト（最大700名）のモチベーション向上離職防止（特に中長期勤務しているフリーター）,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,
課題感としてはメンタルヘルスや新卒採用や離職やモチベーションなど広くぼやっとしている状態。,0,0,0,1,0,1,0,0,0,0,1,,,,,,,,,,,
そして「従業員のモチベーションアップ」「労働生産性の向上」や「大学のブランド価値向上」に繋げたいとのこと。,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,
「平等」が原則の福利厚生でありながら、「頑張った人」へのモチベーションツールとしてのサンコレ開発,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,
