sentence,CSR,キャリア支援,コスト削減,意欲向上,家庭支援,健康増進,地域対策,働き方改革,風土改革,利用促進,離職防止
道北を中心に道内に複数個所病院があるため、公平性の観点からカフェにて検討となる。,0,0,0,0,0,0,1,0,0,0,0
採用面等でもまったく困っていないし、離職率も低い状態で推移しているため、現状の制度を変更する理由が見当たらない。,0,0,0,0,0,0,0,0,0,0,1
離職防止についての「介護」については「え」だけで対応するものではなく、公的制度、会社制度を勘案しつつ考える必要がある旨を説明。,0,0,0,0,0,0,0,0,0,0,1
離職者を繋ぎとめるために準備する育児制度と介護制度、それぞれの内容を十分アピールすること。,0,0,0,0,0,0,0,0,0,0,1
安定した採用離職率も低いが、これからの企業運営において人的な基盤を固める,0,0,0,0,0,0,0,0,0,0,1
特にシフト制で働く従業員の離職率高い。,0,0,0,0,0,0,0,0,0,0,1
（５）ポイントを貯める楽しさで離職防止にも繋がるとアピール,0,0,0,0,0,0,0,0,0,0,1
OSGでも若手離職者出ている。,0,0,0,0,0,0,0,0,0,0,1
永年勤続表彰近年は離職率抑止の為、5年目から制定。,0,0,0,0,0,0,0,0,0,0,1
離職率に関しても課題を感じており、採用の観点からも「え」を会社に提案するとお言葉頂く。,0,0,0,0,0,0,0,0,0,0,1
切り口としては「スキルアップ」「採用」「従業員定着」の観点から。,0,1,0,0,0,0,0,0,0,0,0
生活習慣に関する施策やメンタルヘルス、医療に関する内容など、幅広く情報を収集中とのこと。,0,0,0,0,0,1,0,0,0,0,0
話を聞くと、今回ホワイト500取得の最大の理由は「採用上の有利」な点。,0,0,0,0,0,1,0,0,0,0,0
企業CSRの観点からも、地域活性と絡めたイベントを実施、社外に発信していきたい考えがある。,1,0,0,0,0,0,0,0,0,0,0
2017年2月に健康経営優良法人（ホワイト500）に選定され、社会課題に対応している,0,0,0,0,0,1,0,0,0,0,0
ポイント対象メニューが「資格取得」「健康」「育児」「介護」系の真面目メニューのため「期間限定の旅行補助」仕事に必要な「メガネコンタクト補助」を入れることで利用率をアップできないか相談。,0,0,0,0,0,0,0,0,0,1,0
